2000/08/14,14Aug2000,0.9011
2000/08/15,15Aug2000,0.9118
2000/08/16,16Aug2000,0.9072
2000/08/17,17Aug2000,0.9140
2000/08/18,18Aug2000,0.9127
2000/08/21,21Aug2000,0.9023
2000/08/22,22Aug2000,0.8972
2000/08/23,23Aug2000,0.8918
2000/08/24,24Aug2000,0.9012
2000/08/25,25Aug2000,0.9021
2000/08/28,28Aug2000,0.9007
2000/08/29,29Aug2000,0.8965
2000/08/30,30Aug2000,0.8909
2000/08/31,31Aug2000,0.8906
2000/09/01,01Sep2000,0.8902
2000/09/04,04Sep2000,0.9000
2000/09/05,05Sep2000,0.8886
2000/09/06,06Sep2000,0.8818
2000/09/07,07Sep2000,0.8676
2000/09/08,08Sep2000,0.8735
2000/09/11,11Sep2000,0.8609
2000/09/12,12Sep2000,0.8614
2000/09/13,13Sep2000,0.8654
2000/09/14,14Sep2000,0.8693
2000/09/15,15Sep2000,0.8615
2000/09/18,18Sep2000,0.8526
2000/09/19,19Sep2000,0.8541
2000/09/20,20Sep2000,0.8476
2000/09/21,21Sep2000,0.8524
2000/09/22,22Sep2000,0.8890
2000/09/25,25Sep2000,0.8770
2000/09/26,26Sep2000,0.8757
2000/09/27,27Sep2000,0.8861
2000/09/28,28Sep2000,0.8832
2000/09/29,29Sep2000,0.8765
2000/10/02,02Oct2000,0.8802
2000/10/03,03Oct2000,0.8763
2000/10/04,04Oct2000,0.8730
2000/10/05,05Oct2000,0.8786
2000/10/06,06Oct2000,0.8703
2000/10/09,09Oct2000,0.8695
2000/10/10,10Oct2000,0.8721
2000/10/11,11Oct2000,0.8720
2000/10/12,12Oct2000,0.8648
2000/10/13,13Oct2000,0.8627
2000/10/16,16Oct2000,0.8511
2000/10/17,17Oct2000,0.8496
2000/10/18,18Oct2000,0.8525
2000/10/19,19Oct2000,0.8411
2000/10/20,20Oct2000,0.8452
2000/10/23,23Oct2000,0.8377
2000/10/24,24Oct2000,0.8386
2000/10/25,25Oct2000,0.8307
2000/10/26,26Oct2000,0.8252
2000/10/27,27Oct2000,0.8324
2000/10/30,30Oct2000,0.8482
2000/10/31,31Oct2000,0.8417
2000/11/01,01Nov2000,0.8554
2000/11/02,02Nov2000,0.8646
2000/11/03,03Nov2000,0.8730
2000/11/06,06Nov2000,0.8667
2000/11/07,07Nov2000,0.8587
2000/11/08,08Nov2000,0.8559
2000/11/09,09Nov2000,0.8531
2000/11/10,10Nov2000,0.8673
2000/11/13,13Nov2000,0.8620
2000/11/14,14Nov2000,0.8583
2000/11/15,15Nov2000,0.8596
2000/11/16,16Nov2000,0.8569
2000/11/17,17Nov2000,0.8535
2000/11/20,20Nov2000,0.8488
2000/11/21,21Nov2000,0.8474
2000/11/22,22Nov2000,0.8429
2000/11/23,23Nov2000,0.8427
2000/11/24,24Nov2000,0.8436
2000/11/27,27Nov2000,0.8406
2000/11/28,28Nov2000,0.8561
2000/11/29,29Nov2000,0.8650
2000/11/30,30Nov2000,0.8684
2000/12/01,01Dec2000,0.8735
2000/12/04,04Dec2000,0.8908
2000/12/05,05Dec2000,0.8810
2000/12/06,06Dec2000,0.8828
2000/12/07,07Dec2000,0.8943
2000/12/08,08Dec2000,0.8895
2000/12/11,11Dec2000,0.8804
2000/12/12,12Dec2000,0.8782
2000/12/13,13Dec2000,0.8748
2000/12/14,14Dec2000,0.8839
2000/12/15,15Dec2000,0.8984
2000/12/18,18Dec2000,0.8966
2000/12/19,19Dec2000,0.8903
2000/12/20,20Dec2000,0.9059
2000/12/21,21Dec2000,0.9146
2000/12/22,22Dec2000,0.9240
